slide_id,resolution,process,status,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn,black_thresh,clip_min,clip_max,bag_size
c038-E,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c038-F,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c039-C,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c039-D,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c039-E,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c039-F,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c040-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c041-B,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c041-D,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c041-E,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c042-D,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c042-E,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c043-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c043-B,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c043-F,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c044-C,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c044-D,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c045-D,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c046-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c046-B,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c046-E,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c046-F,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c047-C,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c047-E,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c048-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c048-B,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c048-C,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c048-D,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c048-F,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c049-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c049-C,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c049-E,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c050-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c050-B,0.94,1,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c050-C,0.94,1,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c050-E,0.94,1,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
